"result__language","result__quoteType","result__quoteSourceName","result__currency","result__bookValue","result__averageDailyVolume10Day","result__marketState","result__trailingAnnualDividendRate","result__priceToBook","result__twoHundredDayAverage","result__messageBoardId","result__sharesOutstanding","result__forwardPE","result__financialCurrency","result__twoHundredDayAverageChange","result__twoHundredDayAverageChangePercent","result__exchangeDataDelayedBy","result__fiftyTwoWeekLowChange","result__regularMarketChangePercent","result__fiftyDayAverage","result__exchange","result__exchangeTimezoneShortName","result__exchangeTimezoneName","result__bid","result__earningsTimestampStart","result__fullExchangeName","result__trailingPE","result__dividendDate","result__trailingAnnualDividendYield","result__market","result__earningsTimestamp","result__fiftyDayAverageChangePercent","result__askSize","result__tradeable","result__epsForward","result__fiftyTwoWeekHigh","result__ask","result__bidSize","result__marketCap","result__longName","result__gmtOffSetMilliseconds","result__averageDailyVolume3Month","result__priceHint","result__shortName","result__sourceInterval","result__regularMarketPreviousClose","result__earningsTimestampEnd","result__fiftyTwoWeekHighChangePercent","result__epsTrailingTwelveMonths","result__fiftyTwoWeekHighChange","result__fiftyTwoWeekLowChangePercent","result__regularMarketPrice","result__regularMarketTime","result__regularMarketChange","result__regularMarketOpen","result__regularMarketDayHigh","result__regularMarketDayLow","result__regularMarketVolume","result__fiftyTwoWeekLow","result__fiftyDayAverageChange","result__symbol","error"
"en-US","EQUITY","Nasdaq Real Time Price","USD","25.615","39189200","REGULAR","2.34","6.870193","154.1351","finmb_24937","5134309888","15.7547","USD","21.844894","0.14172563","0","71.899994","0.66929704","158.72055","NMS","EST","America/New_York","175.92","1517259600","NasdaqGS","19.979565","1510790400","0.013385962","us_market","1509652800","0.10874109","6","True","11.17","176.03","175.93","1","903535853568","Apple Inc.","-18000000","28676667","2","Apple Inc.","15","174.81","1517605200","-0.00028405982","8.808","-0.05000305","0.6908147","175.98","1510170727","1.1699982","174.66","176.03","174.33","17813814","104.08","17.259445","AAPL","null"
"en-US","EQUITY","Nasdaq Real Time Price","USD","214.015","1307314","REGULAR","","4.865547","945.9153","finmb_29096","347734016","25.225292","USD","95.384766","0.100838594","0","313.76007","0.7713018","976.98834","NMS","EST","America/New_York","1040.84","","NasdaqGS","37.737835","","","us_market","","0.06582648","1","True","41.28","1048.39","1041.32","1","726794108928","Alphabet Inc.","-18000000","1340120","2","Alphabet Inc.","15","1033.33","","-0.006762718","27.593","-7.089966","0.43126163","1041.3","1510170697","7.970093","1030.52","1043.4799","1028.45","604939","727.54","64.31171","GOOG",""
"en-US","EQUITY","Nasdaq Real Time Price","USD","48.362","3902657","REGULAR","","23.444439","985.4462","finmb_18749","481872000","141.37405","USD","148.37372","0.15056501","0","423.71997","0.94820035","1004.9722","NMS","EST","America/New_York","1133.03","1517432400","NasdaqGS","288.35706","","","us_market","1509048000","0.12821023","1","True","8.02","1134.4199","1133.3","1","546356101120","Amazon.com, Inc.","-18000000","3381704","2","Amazon.com, Inc.","15","1123.17","1517864400","-0.00052888313","3.932","-0.5999756","0.59670466","1133.82","1510170726","10.649902","1122.82","1134.4199","1119.11","1832321","710.1","128.84772","AMZN",""
"en-US","EQUITY","Nasdaq Real Time Price","USD","9.392","22911800","REGULAR","1.56","8.993292","72.980286","finmb_21835","7714590208","22.584223","USD","11.484711","0.1573673","0","27.184998","0.23139872","77.8475","NMS","EST","America/New_York","84.39","1516827600","NasdaqGS","31.167894","1513209600","0.018511927","us_market","1509048000","0.08500584","63","True","3.74","86.2","84.4","11","651612848128","Microsoft Corporation","-18000000","19436673","2","Microsoft Corporation","15","84.27","1517259600","-0.020127619","2.71","-1.7350006","0.47459844","84.465","1510170724","0.1949997","84.14","84.495","83.83","9734361","57.28","6.6174927","MSFT",""
